"Parameter","Item","True_Value","FlexMIRT_Mean","MIRT_Mean","Mplus_Mean","Ratio_MEAN_Flex_MIRT","Ratio_MEAN_Flex_Mplus","Ratio_MEAN_MIRT_Mplus","FlexMIRT_RMSD","MIRT_RMSD","Mplus_RMSD","FlexMIRT_VAR","MIRT_VAR","Mplus_VAR"
"Intercept",12,NA,0.232325006,0.223310844189106,0.40356788505,1.04036598331633,0.575677635922928,0.553341463633656,0.0252373524667696,0.0253033342136585,0.0814230337816011,0.000637561521053016,0.000613351315572403,0.00663634677697673
"Slope",12,NA,0.429499152,0.404484248456617,0.22307070277,1.06184394976772,1.92539471417204,1.81325581277101,0.0938202843721596,0.0843092690680421,0.0241731845225179,0.00881105681648939,0.00710825737001028,0.000584927777737438
"Intercept",13,NA,0.159195238,0.149061268551762,0.16258808389,1.0679852623468,0.979132259826031,0.916803156697574,0.0104914982506483,0.00954700522132131,0.00982469421691208,0.000110181717260617,8.97320554041858e-05,9.66212376935191e-05
"Slope",13,NA,0.176939436,0.162691163084923,0.14903545732,1.08757865298215,1.18723046972699,1.09162722757714,0.01457781386628,0.0103477764256354,0.00939109475279544,0.000212725382502407,9.822101366965e-05,8.82809415975796e-05
"Intercept",14,NA,0.180975893,0.170640457403321,0.19495899731,1.06056849444707,0.928276691494439,0.875263310530826,0.0161245813712962,0.0154186299528692,0.0188566711186358,0.000260262386786337,0.000228547577940387,0.000355929975652046
"Slope",14,NA,0.210352701,0.195076483316917,0.17061482831,1.07830886339214,1.23290984191478,1.14337355814391,0.0226189316656556,0.0190584034847922,0.0149944212470707,0.000512128197893493,0.00036243953015681,0.000225057726260866
"Intercept",15,NA,0.211503171,0.200197073723358,0.24965702935,1.05647483785035,0.84717490851615,0.801888391625044,0.0256433177957487,0.0241148412512877,0.0345086837390194,0.000658237985559319,0.000570703992526583,0.00119204129469436
"Slope",15,NA,0.268409012,0.250015576224556,0.20003462826,1.07356915938279,1.34181273679839,1.24986147848158,0.0396175241366224,0.0382357061304376,0.0234284729352377,0.00157111933805391,0.00124346457027742,0.000549442786864031
"Intercept",16,NA,0.286356819,0.272694693509549,0.42705093477,1.05010044498711,0.670544882788338,0.638553088887198,0.0533559887816376,0.0493519119468652,0.0937088598646666,0.00284971125011636,0.00236899121859779,0.00879014055769341
"Slope",16,NA,0.457035076,0.428378464387286,0.24076081047,1.06689554680043,1.89829513826524,1.77926990506067,0.110077743455461,0.0977981370157888,0.0325312651531819,0.0121292388430893,0.00956877436686308,0.00105934255502165
"Intercept",17,NA,0.258833131,0.24093604780903,0.24321784414,1.07428146744216,1.06420288328438,0.990618302127304,0.0376272802334934,0.0330833538676045,0.0242858245680828,0.00141722944721706,0.00109426744900779,0.000590391666618314
"Slope",17,NA,0.272953835,0.24343698366257,0.24076081047,1.12125048089794,1.1337137238704,1.01111548506315,0.0461381549622195,0.0246356895922768,0.0325312651531819,0.0021308602035213,0.000606208143329651,0.00105934255502165
"Intercept",18,NA,0.297435378,0.276347856446452,0.26215520693,1.07630788899437,1.13457741878619,1.05413834683147,0.0600604916988457,0.0521065465203262,0.0360147457488179,0.00361087353664376,0.00258884747130902,0.00129836027162362
"Slope",18,NA,0.288914801,0.262645295067273,0.27588158553,1.10001894732589,1.04724206381866,0.952021841409609,0.0522576661888129,0.0389457570424344,0.0494307472069914,0.00273359727277417,0.00137639352630958,0.00244584461405554
"Intercept",19,NA,0.335651747,0.314389461022542,0.30732077106,1.06763040309399,1.0921869870438,1.0230010159683,0.0724240389038266,0.065278679760565,0.0537291533116564,0.00525049190304603,0.00409930638618303,0.00288971162721469
"Slope",19,NA,0.334074811,0.308025190225157,0.31379480273,1.0845697741662,1.06462824780259,0.981613422355477,0.0675809405878557,0.0578126800936409,0.061765452328293,0.0045717552860253,0.00311832669498551,0.00381878989120985
"Intercept",20,NA,0.449161429,0.418149474869129,0.48427894862,1.07416475685059,0.927484934622761,0.863447556538823,0.148270835792191,0.126583864278823,0.127001263508569,0.0220062469935085,0.0157676862202131,0.0161454663991722
"Slope",20,NA,0.534039203,0.491318078581203,0.41255152489,1.08695207093165,1.29447880029626,1.19092537280575,0.177370136128317,0.148373949274709,0.107259463545834,0.0314916568470247,0.0219440247764732,0.0115161086287688
